,time,timestamp,RabbitX,GMX_Arbitrum,dYdX
123,2024-02-08,1707350400,79330890.1698,15906265.229053143,3525087500.0000296
124,2024-02-07,1707264000,59988614.4894,7581539.06170034,3112370199.999991
125,2024-02-06,1707177600,54913845.4467,6428642.305532212,1686052099.999992
126,2024-02-05,1707091200,67737360.9772,14189939.803437684,2910045800.0000052
127,2024-02-04,1707004800,28487764.4237,3425953.0165111674,1234063300.0000074
128,2024-02-03,1706918400,18148324.6038,9611627.059593864,920641099.9999901
129,2024-02-02,1706832000,110000758.2424,4118726.60021619,2349574100.0000076
130,2024-02-01,1706745600,211959773.3636,11879471.32411787,3097885400.0000367
131,2024-01-31,1706659200,259658683.9641,18300795.742734227,3821113400.000048
132,2024-01-30,1706572800,175717825.4819,20543835.14311532,2593120700.000003
133,2024-01-29,1706486400,177372164.1997,2313912.518110916,3012156600.000032
134,2024-01-28,1706400000,137403557.3352,12740903.586207148,3136132100.00002
135,2024-01-27,1706313600,68402131.111,7052164.259220347,1484638799.999982
136,2024-01-26,1706227200,243967284.8759,12969762.94304063,4418926900.000027
137,2024-01-25,1706140800,141192472.2953,9848273.61157574,3285215100.0000443
138,2024-01-24,1706054400,231329089.332,6908423.063097394,4885034900.000048
139,2024-01-23,1705968000,362956937.2357,22711979.459991064,4528131800.000057
140,2024-01-22,1705881600,386827516.1385,16279453.221705636,5614382500.000057
141,2024-01-21,1705795200,40657799.3344,2643086.4068181016,680320699.9999975
142,2024-01-20,1705708800,57452058.7047,2823021.687014226,856179699.9999914
143,2024-01-19,1705622400,283530381.6914,35249103.7400136,5396553400.000085
144,2024-01-18,1705536000,246474084.8209,30616095.79854987,4104119100.0000424
145,2024-01-17,1705449600,132762173.9114,22360047.81040465,3934831300.000026
146,2024-01-16,1705363200,186342368.1074,14298142.198833255,5161340800.000116
147,2024-01-15,1705276800,146531021.7113,8705388.934896354,4343459700.000068
148,2024-01-14,1705190400,116276354.6063,6181210.010377207,2737847900.0000095
149,2024-01-13,1705104000,152012124.3951,8563130.982241401,4718836200.000118
150,2024-01-12,1705017600,484474577.3093,49837441.51311885,13960898600.000574
151,2024-01-11,1704931200,497375074.4722,49494909.596078314,12806809700.000418
152,2024-01-10,1704844800,466067394.0727,62017020.30423087,17105643000.000565
153,2024-01-09,1704758400,161241991.137,101233955.90611368,13975782800.000319
154,2024-01-08,1704672000,254938819.7829,94147533.1735314,12446167100.0
155,2024-01-07,1704585600,89269126.4001,10578983.97824864,4507731299.999998
