,market_id,timestamp,funding_rate,time_hour,funding_rate_apy,Binance,Bybit,OKX
569,BNB-USD,1715943600,-3.155270956118035e-05,2024-05-17 11:00,-0.2414951579226301,0.182943244644854,0.1153696030586342,0.08349182235316444
570,BNB-USD,1715940000,-2.4908414178337764e-05,2024-05-17 10:00,-0.19603570960963712,0.18073228111700934,0.11466025614121378,0.08270371696060086
571,BNB-USD,1715936400,-1.5025703926805738e-05,2024-05-17 09:00,-0.12333132822798865,0.1795023562213136,0.11427565387795457,0.08234640272551386
572,BNB-USD,1715932800,-1.5066676341722588e-05,2024-05-17 08:00,-0.1236459289781906,0.18082921216540293,0.11385156869197677,0.08267937944167425
573,BNB-USD,1715929200,-4.1985205766247606e-05,2024-05-17 07:00,-0.3077430820864425,0.18215476375461503,0.11247205514111336,0.08230907323298409
574,BNB-USD,1715925600,-4.934266502249193e-05,2024-05-17 06:00,-0.3509544695278871,0.1821565757224779,0.1117762352322269,0.08295490070244704
575,BNB-USD,1715922000,-5.6933860058026464e-05,2024-05-17 05:00,-0.39271362534083987,0.18228543962715693,0.1112837426032478,0.08294479816531486
576,BNB-USD,1715918400,-5.816605983036401e-05,2024-05-17 04:00,-0.39923383908815124,0.18258776054426296,0.11141543787942743,0.08300526064563707
577,BNB-USD,1715914800,-6.410231498079682e-05,2024-05-17 03:00,-0.4296780641685001,0.18173228864812607,0.1117180216909428,0.08158132227913928
578,BNB-USD,1715911200,-6.872725408054306e-05,2024-05-17 02:00,-0.4523240151045166,0.18195023632051144,0.11158960869470391,0.08148331845625889
579,BNB-USD,1715907600,-7.93538207810334e-05,2024-05-17 01:00,-0.5010089166796288,0.181655271268786,0.1115750703655034,0.08136721980283901
580,BNB-USD,1715904000,-9.502546475636811e-05,2024-05-17 00:00,-0.5650232181894626,0.18180761605598916,0.11220274228925375,0.08150235958721219
581,BNB-USD,1715900400,-8.491602164585477e-05,2024-05-16 23:00,-0.5247412728055705,0.18231341204114782,0.11185468688606637,0.08165005814148407
582,BNB-USD,1715896800,-7.429086998658738e-05,2024-05-16 22:00,-0.47837805463399485,0.1828638432471419,0.11190526520722277,0.08172352412250206
583,BNB-USD,1715893200,-6.77951964387476e-05,2024-05-16 21:00,-0.447833723775368,0.1855115634328035,0.1120289636089733,0.08115301761644234
