,blockNumber,timeStamp,hash,from,to,contractAddress,tokenName,tokenSymbol,value,tokenDecimal,gas,gasPrice,gasUsed,evt_block_time,cex_name,distinct_name,gasFee,timeStamp_midnight,TokenPrice_traded,ETH-USD,Volume,gasFee_inUSD,gasFee_percentage_bp
32,19988758,1717145747,0xe779a69fbdfe4a33b693cc5d95ed68950437f66e16c82a695cacb632cb7ecbb9,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x03ae1a796dfe0400439211133d065bda774b9d3e,0xd1d2eb1b1e90b638588728b4130137d262c87cae,Gala,GALA,186514200000000,8,166415,7855848362,63160,2024-05-31 08:55:47.000 UTC,OKX,OKX 81,0.00049617538254392,1717113600,0.04273,3746.97,79697.51766,1.859154273130592,0.2332763086878046
33,19988637,1717144271,0xc48d40802802f2822bf008a475d18399ce210d6b453fb06b1c4ff1deb53be324,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x03ae1a796dfe0400439211133d065bda774b9d3e,0xd1d2eb1b1e90b638588728b4130137d262c87cae,Gala,GALA,25000000000000,8,166415,7081303011,63160,2024-05-31 08:31:11.000 UTC,OKX,OKX 81,0.00044725509817476,1717113600,0.04273,3746.97,10682.5,1.6758514352078804,1.5687820596376132
34,19988191,1717138895,0x34c763351630f585f62721ba02d931e85f89fe1d53a3221ffccbc191b2cc8a8d,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0xe66baa0b612003af308d78f066bbdb9a5e00ff6c,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,114475244000,6,84000,8560042857,46109,2024-05-31 07:01:35.000 UTC,Coinhako,Coinhako 5,0.00039469501609341303,1717113600,0.9999,3746.97,114463.7964756,1.4789103844515357,0.12920333153258565
35,19985477,1717106219,0x795da71931f25a33bb6bfcbf3feb29b5e75aeb56b619caae82a6f624b29e0af5,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x03ae1a796dfe0400439211133d065bda774b9d3e,0x5283d291dbcf85356a21ba090e6db59121208b44,Blur,BLUR,1280570000000000000000000,18,147659,14750566087,38875,2024-05-30 21:56:59.000 UTC,OKX,OKX 81,0.000573428256632125,1717027200,0.4177,3762.22,534894.089,2.1573632556665134,0.04033253124370408
36,19984484,1717094183,0x62c70d879a9f9c8b189d0b5d4270b220aac10a17471e489b50e66ce79e1b115f,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0x57e114b691db790c35207b2e685d4a43181e6061,Ethena,ENA,147085568000000000000000,18,41611,30929836999,34317,2024-05-30 18:36:23.000 UTC,Revolut,Revolut 3,0.001061419216294683,1717027200,0.8359,3762.22,122948.82629119999,3.993292603928182,0.32479306426807264
37,19984376,1717092887,0x25bbbdac951cb54b1f20b0c5527aafbfb2d0545d58581e2d810c3e8dea2f0349,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x2efb50e952580f4ff32d8d2122853432bbf2e204,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIBA INU,SHIB,97397214554000000000000000000,18,42214,22585075264,34819,2024-05-30 18:14:47.000 UTC,Robinhood,Robinhood 4,0.0007863897356172161,1717027200,2.752e-05,3762.22,2680371.3445260795,2.9585711911338026,0.011037915314144324
38,19983975,1717088063,0xb758454f784101bdb596393b52159b9cc19234e3d002ee91072e3541e9df485f,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x2efb50e952580f4ff32d8d2122853432bbf2e204,0xc00e94cb662c3520282e6f5717214004a7f26888,Compound,COMP,923914600000000000000,18,48860,17060653366,40346,2024-05-30 16:54:23.000 UTC,Robinhood,Robinhood 4,0.0006883291207046361,1717027200,61.18,3762.22,56525.095228,2.589645584497396,0.4581408618688362
39,19983872,1717086803,0x5f6d530b973b3f17ecc796dec22dd403d81a81eea9f13f3908902c311f6895e1,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0xe66baa0b612003af308d78f066bbdb9a5e00ff6c,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,FLOKI,FLOKI,718980000000000000,9,84724,20155567186,67479,2024-05-30 16:33:23.000 UTC,Coinhako,Coinhako 5,0.0013600775181440942,1717027200,0.0002676,3762.22,192399.048,5.116910840312074,0.2659530228191188
40,19983654,1717084139,0x40557c6fec3cfc770cdca3b5254bab8aa80c57762afeb2bb95ded57412f89140,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0x163f8c2467924be0ae7b5347228cabf260318753,Worldcoin,WLD,30226738113040000000000,18,41872,31158738025,34535,2024-05-30 15:48:59.000 UTC,Revolut,Revolut 3,0.001076067017693375,1717027200,4.928,3762.22,148957.3654210611,4.048400855306369,0.2717825227280748
41,19983653,1717084127,0xcf627756e5f88d596246ba9527d1260f5b0618998213daa5d96e8dbad1084b4a,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,FLOKI,FLOKI,1202530383000000000,9,84739,27989390502,67491,2024-05-30 15:48:47.000 UTC,Revolut,Revolut 3,0.0018890319543704822,1717027200,0.0002676,3762.22,321797.1304908,7.106953799371715,0.22085199419063492
42,19983652,1717084115,0xf55739cc9006d92c0f30da8cdbc7423dd799cda909b564e1e1139e459097ebc6,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0xe66baa0b612003af308d78f066bbdb9a5e00ff6c,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,FLOKI,FLOKI,2602000000000,9,84696,24200629858,67455,2024-05-30 15:48:35.000 UTC,Coinhako,Coinhako 5,0.00163245348707139,1717027200,0.0002676,3762.22,0.6962952,6.141649158129725,88204.6746570955
43,19983019,1717076435,0xe4e0a8bce8631d2b12927ca495720d1121379361e4a727a1347a087bbcbffc7b,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x03ae1a796dfe0400439211133d065bda774b9d3e,0x92d6c1e31e14520e676a687f0a93788b716beff5,dYdX,DYDX,49106000000000000000000,18,581536,16691334220,174061,2024-05-30 13:40:35.000 UTC,OKX,OKX 81,0.00290531032566742,1717027200,2.026,3762.22,99488.756,10.930416613432481,1.0986584869382106
44,19981750,1717061051,0xaadb4f666bf91c2d4cf5489fc3a975296c308e3098cb513deb3271097a8bc965,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x03ae1a796dfe0400439211133d065bda774b9d3e,0x5283d291dbcf85356a21ba090e6db59121208b44,Blur,BLUR,2419279000000000000000000,18,147628,10744291282,38863,2024-05-30 09:24:11.000 UTC,OKX,OKX 81,0.000417555392092366,1717027200,0.4177,3762.22,1010532.8382999998,1.5709352472377411,0.015545613043911522
